Identifier	label	type	Category	Group	NumTargets
DB00263	Sulfisoxazole	Drug	QTc Prolonging Agents, Amines, Cytochrome P-450 Enzyme Inhibitors, Aniline Compounds, Genito Urinary System and Sex Hormones, Hypoglycemia-Associated Agents, Amides, Sulfanilamides, Anti-Infective Agents, Short-Acting Sulfonamides, SULFONAMIDES AND TRIMETHOPRIM, Anti-Bacterial Agents, Sulfur Compounds, Sulfonamide Antibacterial, Cytochrome P-450 CYP2C9 Inhibitors, Drugs causing inadvertant photosensitivity, Sulfones, Gynecological Antiinfectives and Antiseptics, Blood Glucose Lowering Agents, Antiinfectives for Systemic Use, Moderate Risk QTc-Prolonging Agents, Ophthalmologicals, Photosensitizing Agents, Cytochrome P-450 CYP2C9 Inhibitors (strength unknown), Sulfonamides, Sensory Organs, Antibacterials for Systemic Use	approved, vet_approved	1
DB01593	Zinc	Drug	Zinc Compounds, Metals, Metals, Heavy, Minerals, Elements, Transition Elements, Trace Elements, Agents for Treatment of Hemorrhoids and Anal Fissures for Topical Use, Micronutrients, Vasoprotectives, Metal cations, Physiological Phenomena, Replacement Preparations, Metal divalent cations, Food and Beverages, Laxatives, Copper Absorption Inhibitor, Growth Substances, Diet, Food, and Nutrition, Food	approved, investigational	124
DB00268	Ropinirole	Drug	Cytochrome P-450 Substrates, Nervous System, Hypotensive Agents, Antidepressive Agents, Nonergot-derivative Dopamine Receptor Agonists, Anti-Parkinson Drugs, Dopamine Agonists, Anti-Dyskinesia Agents, Heterocyclic Compounds, Fused-Ring, Neurotransmitter Agents, Central Nervous System Depressants, Cytochrome P-450 CYP1A2 Substrates, Anti-Parkinson Agents (Dopamine Agonist), Central Nervous System Agents, Dopamine Agents	approved, investigational	4
DB01599	Probucol	Drug	QTc Prolonging Agents, Anticholesteremic Agents, Hypolipidemic Agents, Noxae, Protective Agents, Moderate Risk QTc-Prolonging Agents, Antioxidants, Lipid Modifying Agents, Lipid Modifying Agents, Plain, Lipid Regulating Agents, Phenols, Toxic Actions, Compounds used in a research, industrial, or household setting, Benzene Derivatives	approved, investigational	2
DB00269	Chlorotrianisene	Drug	Sex Hormones and Modulators of the Genital System, Antineoplastic Agents, Hormonal, Stilbenes, Hormones, Hormone Substitutes, and Hormone Antagonists, Estrogens, Non-Steroidal, Estrogens, Genito Urinary System and Sex Hormones, Antineoplastic Agents, Benzylidene Compounds, Natural and Semisynthetic Estrogens, Plain, Hormones, Benzene Derivatives	investigational, withdrawn	1
DB00266	Dicoumarol	Drug	Anticoagulants, Enzyme Inhibitors, Blood and Blood Forming Organs, Cytochrome P-450 Substrates, Uncoupling Agents, 4-Hydroxycoumarins, Coumarins, Hematologic Agents, Benzopyrans, Fibrinolytic Agents, Cytochrome P-450 CYP2C9 Substrates with a Narrow Therapeutic Index, Vitamin K Antagonists, Cytochrome P-450 CYP2C9 Substrates, Heterocyclic Compounds, Fused-Ring, Narrow Therapeutic Index Drugs, Pyrans	approved	3
DB01598	Imipenem	Drug	Amides, Lactams, beta-Lactams, Beta-Lactam Antibacterials, Penem Antibacterial, Antiinfectives for Systemic Use, Anti-Infective Agents, Heterocyclic Compounds, Fused-Ring, Anti-Bacterial Agents, Sulfur Compounds, Carbapenems, Thienamycins, Antibacterials for Systemic Use, Agents that reduce seizure threshold, Neurotoxic agents	approved	5
DB01597	Cilastatin	Drug	Renal Dehydropeptidase Inhibitor, Cycloparaffins, Enzyme Inhibitors, Dipeptidase Inhibitors, Protease Inhibitors, Cyclopropanes, OAT3/SLC22A8 Inhibitors, OAT1/SLC22A6 inhibitors	approved, investigational	1
DB00267	Cefmenoxime	Drug	Nephrotoxic agents, Third-Generation Cephalosporins, Cephacetrile, Amides, Lactams, Thiazines, beta-Lactams, Antiinfectives for Systemic Use, Anti-Infective Agents, Heterocyclic Compounds, Fused-Ring, Anti-Bacterial Agents, Sulfur Compounds, Cephalosporins, Antibacterials for Systemic Use	approved	2
DB13570	Oxidized cellulose	Drug	Carbohydrates, Blood and Blood Forming Organs, Cellulose, Hematologic Agents, Coagulants, Biopolymers, Macromolecular Substances, Polysaccharides, Glucans, Local Hemostatics, Hemostatics, Polymers, Compounds used in a research, industrial, or household setting	experimental	0
DB13571	Pentamycin	Drug	Polyketides, Alkenes, Gynecological Antiinfectives and Antiseptics, Genito Urinary System and Sex Hormones, Hydrocarbons, Acyclic, Antifungal Agents, Lactones	experimental	0
DB12240	Polatuzumab vedotin	Drug	Immunoglobulins, Cytochrome P-450 Substrates, Noxae, Antibodies, Amino Acids, Peptides, and Proteins, Cytochrome P-450 CYP3A4 Substrates, Immunoproteins, Proteins, Serum Globulins, Cytochrome P-450 CYP3A Substrates, Globulins, Blood Proteins, Toxic Actions	approved, investigational	1
DB12253	GDC-0810	Drug	Heterocyclic Compounds, Fused-Ring, Pyrazoles, Acids, Carbocyclic	investigational	0
DB13585	Aminoethyl nitrate	Drug	Anions, Acids, Noncarboxylic, Acids, Electrolytes, Ions, Vasodilators Used in Cardiac Diseases, Nitric Acid, Cardiac Therapy, Nitrogen Compounds	experimental	0
DB12252	PG-701	Drug	0	investigational	0
DB13586	Metandienone	Drug	Androgens for Topical Use, Hormones, Hormone Substitutes, and Hormone Antagonists, Dermatologicals, Androstadienes, Anabolic Agents, Androstenes, Hormones, Fused-Ring Compounds, Androstanes, Alimentary Tract and Metabolism, Anabolic Steroids, Anabolic Agents for Systemic Use, Androstan Derivatives, Steroids	experimental	0
DB13583	Mephenesin	Drug	Neuromuscular Agents, Central Nervous System Depressants, Musculo-Skeletal System, Muscle Relaxants, Centrally Acting Agents, Glycols, Central Nervous System Agents, Propylene Glycols, Muscle Relaxants, Alcohols, Peripheral Nervous System Agents	approved	0
DB12255	Vadadustat	Drug	Pyridines, Amino Acids, Peptides, and Proteins, Amino Acids	investigational	0
DB13584	Gallamine	Drug	Neuromuscular Agents, Amines, Ammonium Compounds, Quaternary Ammonium Compounds, Neuromuscular-Blocking Agents (Nondepolarizing), Onium Compounds, Muscle Relaxants, Nicotinic Antagonists, Peripheral Nervous System Agents, Anticholinergic Agents, Neurotransmitter Agents, Cholinergic Agents, Muscle Relaxants, Peripherally Acting Agents, Central Nervous System Depressants, Musculo-Skeletal System, Neuromuscular Blocking Agents, Nitrogen Compounds, Neurotoxic agents	experimental	0
DB12254	ABT-751	Drug	Sulfur Compounds, Amines, Aniline Compounds, Phenols, Amides, Benzene Derivatives, Sulfones	investigational	0
DB12257	Platinum	Drug	Cross-Linking Reagents, Metals, Laboratory Chemicals, Antineoplastic Agents, Metals, Heavy, Elements, Transition Elements, Platinum Compounds, Radiation-Sensitizing Agents, Indicators and Reagents, Compounds used in a research, industrial, or household setting, Chlorine Compounds, Nitrogen Compounds	investigational	0
DB12256	Bamosiran	Drug	0	investigational	0
DB12259	CG-200745	Drug	Amines, Hydroxy Acids, Hydroxylamines, Antineoplastic Agents, Histone Deacetylase Inhibitors	investigational	0
DB13587	Mesterolone	Drug	Androstanols, Sex Hormones and Modulators of the Genital System, Hormones, Hormone Substitutes, and Hormone Antagonists, Genito Urinary System and Sex Hormones, Anabolic Agents, Hormones, Fused-Ring Compounds, Gonadal Steroid Hormones, Androgens, Androstanes, 5-Androstanon (3) Derivatives, Testosterone Congeners, Gonadal Hormones, Steroids	experimental	0
DB12258	Abicipar Pegol	Drug	Proteins, Pegylated agents, Amino Acids, Peptides, and Proteins, Recombinant Proteins	investigational	0
DB13588	Naftidrofuryl	Drug	Neurotransmitter Agents, Serotonin Agents, Central Nervous System Depressants, Peripheral Vasodilators, Cardiovascular Agents, Furans, Serotonin Receptor Antagonists, Antidepressive Agents, Vasodilating Agents	experimental	0
DB00271	Diatrizoate	Drug	Carbohydrates, Benzoates, Acids, Carbocyclic, Roentgenography, Drugs that are Mainly Renally Excreted, Alcohols, Amino Sugars, Iodobenzoates, Iodinated Contrast Agents, Contrast Media, Diagnostic Uses of Chemicals, Radiographic Contrast Agent, Sugar Alcohols, Hexosamines, Triiodobenzoic Acids, Watersoluble, Nephrotropic, High Osmolar X-Ray Contrast Media, X-Ray Contrast Media, Iodinated, Compounds used in a research, industrial, or household setting, X-Ray Contrast Activity, Benzene Derivatives	approved, vet_approved	0
DB00272	Betazole	Drug	Neurotransmitter Agents, Pyrazoles, Histamine Agonists, Tests for Gastric Secretion, Diagnostic Agents, Histamine Agents, Gastrointestinal Agents	approved	1
DB00270	Isradipine	Drug	Calcium Channel Blockers (Dihydropyridine), Dihydropyridine Derivatives, QTc Prolonging Agents, Cytochrome P-450 Substrates, Cytochrome P-450 Enzyme Inhibitors, Agents causing hyperkalemia, Cytochrome P-450 CYP3A4 Inhibitors (moderate), BSEP/ABCB11 Substrates, Cardiovascular Agents, Hypotensive Agents, Cytochrome P-450 CYP3A4 Substrates, Drugs that are Mainly Renally Excreted, Calcium-Regulating Hormones and Agents, Potential QTc-Prolonging Agents, Antihypertensive Agents, Bradycardia-Causing Agents, Antiarrhythmic agents, Selective Calcium Channel Blockers With Mainly Vascular Effects, Antihypertensive Agents Indicated for Hypertension, Pyridines, Membrane Transport Modulators, Calcium Channel Blockers, Dihydropyridines, Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Inhibitors, P-glycoprotein inhibitors, Vasodilating Agents	approved, investigational	7
DB00275	Olmesartan	Drug	Antihypertensive Agents Indicated for Hypertension, BSEP/ABCB11 Inhibitors, Angiotensin II receptor blockers (ARBs) and diuretics, Angiotensin Receptor Antagonists, Agents causing hyperkalemia, Angiotensin II receptor blockers (ARBs) and calcium channel blockers, Cardiovascular Agents, Hypotensive Agents, OATP1B3 substrates, Tetrazoles, Angiotensin II receptor blockers (ARBs), plain, Imidazoles, Angiotensin II Antagonists and Calcium Channel Blockers, Agents Acting on the Renin-Angiotensin System, OATP1B1/SLCO1B1 Substrates, Angiotensin 2 Receptor Blocker, Antihypertensive Agents	approved, investigational	1
DB00276	Amsacrine	Drug	Immunosuppressive Agents, Acridines, Antineoplastic and Immunomodulating Agents, Laboratory Chemicals, Antineoplastic Agents, Cardiotoxic antineoplastic agents, Intercalating Agents, Myelosuppressive Agents, Heterocyclic Compounds, Fused-Ring, Narrow Therapeutic Index Drugs, Indicators and Reagents, Aminoacridines, P-glycoprotein inhibitors, Compounds used in a research, industrial, or household setting	approved, investigational	5
DB00273	Topiramate	Drug	Neuroprotective Agents, Decreased Central Nervous System Disorganized Electrical Activity, Cytochrome P-450 Substrates, Cytochrome P-450 Enzyme Inhibitors, Nervous System, Cytochrome P-450 CYP3A Inducers, Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP3A4 Inducers (strength unknown), Enzyme Inducing Antiepileptic Drugs, Drugs that are Mainly Renally Excreted, Monosaccharides, Cytochrome P-450 Enzyme Inducers, Miscellaneous Anticonvulsants, Carbohydrates, Hexoses, P-glycoprotein substrates, Cytochrome P-450 CYP3A4 Inducers, Fructose, Ketoses, Cytochrome P-450 CYP3A4 Inducers (weak), Anticonvulsants, Anti-Obesity Agents, Central Nervous System Depressants, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), Central Nervous System Agents	approved	9
DB00274	Cefmetazole	Drug	Nephrotoxic agents, Second-Generation Cephalosporins, Amides, Lactams, Thiazines, beta-Lactams, Antiinfectives for Systemic Use, Cephamycins, Anti-Infective Agents, Heterocyclic Compounds, Fused-Ring, Anti-Bacterial Agents, Sulfur Compounds, Cephalosporins, Antibacterials for Systemic Use	approved, investigational	6
DB00279	Liothyronine	Drug	Thyroid Products, Hormones, Hormone Substitutes, and Hormone Antagonists, OATP1B3 substrates, Hormones, Drugs that are Mainly Renally Excreted, Agents used to treat hypothyroidism, Thyroxine-binding globulin substrates, P-glycoprotein inducers, l-Triiodothyronine, UGT1A1 Substrates, OATP1B1/SLCO1B1 Substrates, Triiodothyronine, OAT3/SLC22A8 Inhibitors, Thyronines, Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins	approved, vet_approved	3
DB00277	Theophylline	Drug	Purinergic P1 Receptor Antagonists, Enzyme Inhibitors, Cytochrome P-450 Substrates, Phosphodiesterase 5 Inhibitors, Cardiovascular Agents, Purinergic Agents, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP2D6 Substrates with a Narrow Therapeutic Index, Peripheral Nervous System Agents, Alkaloids, Purines, Xanthines and Adrenergics, Purinergic Antagonists, Xanthine derivatives, Cytochrome P-450 CYP2C8 Substrates, Purinones, Agents that reduce seizure threshold, Autonomic Agents, Phosphodiesterase Inhibitors, Cytochrome P-450 CYP2E1 Substrates, Anti-Asthmatic Agents, Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index, Bronchodilator Agents, Respiratory Smooth Muscle Relaxants, Respiratory System Agents, Cytochrome P-450 CYP1A2 Substrates with a Narrow Therapeutic Index, Heterocyclic Compounds, Fused-Ring, Neurotransmitter Agents, Narrow Therapeutic Index Drugs, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP1A2 Substrates, Drugs for Obstructive Airway Diseases, Cytochrome P-450 CYP2D6 Substrates, Vasodilating Agents	approved	14
DB00278	Argatroban	Drug	Anticoagulants, Enzyme Inhibitors, Blood and Blood Forming Organs, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 Substrates, Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index, Protease Inhibitors, Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index, Hematologic Agents, Cytochrome P-450 CYP3A4 Substrates, Fibrinolytic Agents, Antithrombins, Cytochrome P-450 CYP3A4 Substrates (strength unknown), Narrow Therapeutic Index Drugs, Cytochrome P-450 CYP3A Substrates, Piperidines, Thrombin Inhibitors, Serine Protease Inhibitors	approved, investigational	1
DB13581	Rociverine	Drug	Anticholinergic Agents, Autonomic Agents, Cycloparaffins, Alimentary Tract and Metabolism, Acids, Carbocyclic, Agents producing tachycardia, Parasympatholytics, Drugs for Functional Gastrointestinal Disorders, Muscarinic Antagonists, Synthetic Anticholinergics, Esters With Tertiary Amino Group, Cyclohexanes, Peripheral Nervous System Agents	experimental	5
DB13582	Ferric (59Fe) citrate	Drug	Diagnostic Radiopharmaceuticals, Various Diagnostic Radiopharmaceuticals	experimental	0
DB12251	Moxaverine	Drug	Autonomic Agents, Alkaloids, Heterocyclic Compounds, Fused-Ring, Opiate Alkaloids, Benzylisoquinolines, Alimentary Tract and Metabolism, Isoquinolines, Papaverine and Derivatives, Parasympatholytics, Drugs for Functional Gastrointestinal Disorders, Peripheral Nervous System Agents	investigational	0
DB12250	Cixutumumab	Drug	Proteins, Serum Globulins, Immunoglobulins, Globulins, Receptor, IGF Type 1, Blood Proteins, Antibodies, Amino Acids, Peptides, and Proteins, Radiation-Sensitizing Agents, Immunoproteins	investigational	1
DB13580	Succinylsulfathiazole	Drug	Sulfur Compounds, Amines, Intestinal Antiinfectives, Alimentary Tract and Metabolism, Sulfonamides, Aniline Compounds, Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents, Thiazoles, Amides, Sulfanilamides, Sulfones	experimental	0
DB13596	Oxycinchophen	Drug	Quinolines, Antiinflammatory and Antirheumatic Products, Musculo-Skeletal System, Specific Antirheumatic Agents	experimental	0
DB12264	Atevirdine	Drug	Enzyme Inhibitors, Nucleic Acid Synthesis Inhibitors, Anti-Retroviral Agents, Antiviral Agents, Reverse Transcriptase Inhibitors, Anti-Infective Agents	investigational	0
DB13597	Moroxydine	Drug	Antivirals for Systemic Use, Direct Acting Antivirals, Oxazines, Antiviral Agents, Antiinfectives for Systemic Use, Anti-Infective Agents	experimental	0
DB12263	Begacestat	Drug	Sulfur Compounds, Amyloid Precursor Protein Secretases, Amides, Sulfones	investigational	0
DB12266	Epofolate	Drug	Biological Factors, Cytochrome P-450 Enzyme Inhibitors, Macrolides, Antineoplastic Agents, Cytochrome P-450 CYP3A4 Inhibitors (strength unknown), Pteridines, Lactones, Pigments, Biological, Heterocyclic Compounds, Fused-Ring, Anti-Bacterial Agents, Polyketides, Cytochrome P-450 CYP3A Inhibitors, Pterins, Cytochrome P-450 CYP3A4 Inhibitors	investigational	0
DB13595	Almasilate	Drug	Ions, Oxides, Minerals, Drugs that are Mainly Renally Excreted, Pharmaceutic Aids, Silicon Compounds, Aluminum and magnesium containing antacids, Anions, Gastric Acid Lowering Agents, Acids, Noncarboxylic, Acids, Alimentary Tract and Metabolism, Electrolytes, Drugs for Acid Related Disorders, Antacids, Oxygen Compounds	approved, experimental	0
DB12265	Fexinidazole	Drug	Antiparasitic Products, Insecticides and Repellents, Antiprotozoals, Imidazoles, Agents Against Leishmaniasis and Trypanosomiasis, Nitroimidazole Derivatives, Nitro Compounds	investigational	0
DB12268	Carmegliptin	Drug	Heterocyclic Compounds, Fused-Ring, Dipeptidyl Peptidase 4, Agents causing angioedema, Blood Glucose Lowering Agents, DPP-IV Inhibitors	investigational	0
DB12267	Brigatinib	Drug	Cytochrome P-450 Substrates, Tyrosine Kinase Inhibitors, Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index, Antineoplastic and Immunomodulating Agents, Cytochrome P-450 CYP3A Inducers, Cytochrome P-450 CYP3A4 Inducers, Antineoplastic Agents, BCRP/ABCG2 Inhibitors, MATE inhibitors, MATE 1 Inhibitors, Cytochrome P-450 CYP3A4 Inducers (strength unknown), Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 Enzyme Inducers, Protein Kinase Inhibitors, BCRP/ABCG2 Substrates, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP2C8 Substrates with a Narrow Therapeutic Index, MATE 2 Inhibitors, Cytochrome P-450 CYP2C8 Substrates, Kinase Inhibitor	approved, investigational	9
DB13598	Diethyl ether	Drug	Anesthetics, Inhalation, Solvents, Anesthetics, General, Nervous System, Central Nervous System Depressants, Agents that produce hypertension, Ethyl Ethers, Central Nervous System Agents, Anesthetics, Ethers, Compounds used in a research, industrial, or household setting, Neurotoxic agents	experimental	0
DB13599	Difetarsone	Drug	Antiparasitic Products, Insecticides and Repellents, Antiprotozoals, Arsenicals	experimental	0
DB12269	PF-06273340	Drug	0	investigational	0
DB00282	Pamidronic acid	Drug	Nephrotoxic agents, Organophosphonates, Agents Causing Muscle Toxicity, Musculo-Skeletal System, Drugs for Treatment of Bone Diseases, Bone Density Conservation Agents, Antineoplastic Agents, Organophosphorus Compounds, Drugs Affecting Bone Structure and Mineralization, Bisphosphonates	approved	5
DB00283	Clemastine	Drug	Cytochrome P-450 CYP2D6 Inhibitors, Highest Risk QTc-Prolonging Agents, QTc Prolonging Agents, Anti-Allergic Agents, Cytochrome P-450 Enzyme Inhibitors, Antihistamines for Topical Use, Dermatologicals, Neurotransmitter Agents, Histamine H1 Antagonists, Antipruritics, Incl. Antihistamines, Anesthetics, Etc., Histamine Antagonists, Photosensitizing Agents, Central Nervous System Depressants, Pyrrolidines, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Histamine Agents, Aminoalkyl Ethers, Antihistamines for Systemic Use, Antipruritics	approved, investigational	1
DB00280	Disopyramide	Drug	Highest Risk QTc-Prolonging Agents, Pyridines, QTc Prolonging Agents, Voltage-Gated Sodium Channel Blockers, Cytochrome P-450 Substrates, Hypoglycemia-Associated Agents, OCT1 inhibitors, Agents producing tachycardia, Cardiovascular Agents, Muscarinic Antagonists, Blood Glucose Lowering Agents, Cytochrome P-450 CYP3A4 Substrates, Drugs that are Mainly Renally Excreted, Membrane Transport Modulators, Anticholinergic Agents, Cytochrome P-450 CYP3A Substrates, OCT2 Inhibitors, Cytochrome P-450 CYP1A2 Substrates, Antiarrhythmics, Class I, Sodium Channel Blockers, Antiarrhythmics, Class Ia, Cardiac Therapy, Antiarrhythmic agents	approved	8
DB00281	Lidocaine	Drug	Voltage-Gated Sodium Channel Blockers, Cytochrome P-450 Substrates, Sensory System Agents, Cytochrome P-450 CYP3A7 Substrates, Cytochrome P-450 Enzyme Inhibitors, Neuraxial Anesthetics, Otologicals, Cardiovascular Agents, Cytochrome P-450 CYP3A4 Substrates, Peripheral Nervous System Agents, Antipruritics and Local Anesthetics, Cytochrome P-450 CYP2D6 Inhibitors (strength unknown), Cytochrome P-450 CYP2C8 Substrates, Agents that reduce seizure threshold, Anesthetics, Local, Antiarrhythmic agents, Analgesics and Anesthetics, Cytochrome P-450 CYP2C18 Substrates, Cytochrome P-450 CYP3A5 Substrates, Local Anesthesia, Anesthetics for Topical Use, Anesthetics, Membrane Transport Modulators, Ophthalmologicals, Amide Local Anesthetic, Cytochrome P-450 CYP2A6 Substrates, Cytochrome P-450 CYP2B6 Substrates, Cytochrome P-450 CYP2D6 Substrates, Sodium Channel Blockers, Antiarrhythmics, Class Ib, Cytochrome P-450 CYP1A2 Inhibitors (moderate), Cytochrome P-450 CYP2D6 Inhibitors, Amines, Nervous System, Aniline Compounds, Amides, Anilides, Cytochrome P-450 CYP1A2 Inhibitors, Vasoprotectives, Antipruritics, Incl. Antihistamines, Anesthetics, Etc., Antiarrhythmics, Class I, Dermatologicals, Agents for Treatment of Hemorrhoids and Anal Fissures for Topical Use, Cytochrome P-450 CYP2C9 Substrates, Throat Preparations, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP1A2 Substrates, Central Nervous System Agents, Methemoglobinemia Associated Agents, P-glycoprotein inhibitors, Cardiac Therapy	approved, vet_approved	7
DB00286	Conjugated estrogens	Drug	Sex Hormones and Modulators of the Genital System, Cytochrome P-450 Substrates, Cytochrome P-450 Enzyme Inhibitors, Estrogens, Genito Urinary System and Sex Hormones, Natural and Semisynthetic Estrogens, Plain, OATP1B3 substrates, Hormones, Cytochrome P-450 CYP3A4 Substrates, Drugs that are Mainly Renally Excreted, OAT3/SLC22A8 Substrates, Cytochrome P-450 CYP1A2 Inhibitors, Agents causing angioedema, Estradiol Congeners, COMT Substrates, Estrogens, Conjugated (USP), Gonadal Hormones, Cytochrome P-450 CYP1A2 Inhibitors (weak), OATP1B1/SLCO1B1 Inhibitors, Hormones, Hormone Substitutes, and Hormone Antagonists, P-glycoprotein substrates, Gonadal Steroid Hormones, BCRP/ABCG2 Substrates, Cytochrome P-450 CYP3A Substrates, Thyroxine-binding globulin inducers, Cytochrome P-450 CYP1A2 Substrates, OATP1B1/SLCO1B1 Substrates, OAT3/SLC22A8 Inhibitors	approved	2
DB00287	Travoprost	Drug	Inflammation Mediators, Fatty Acids, Antiglaucoma Preparations and Miotics, Prostaglandin analogs reducing intraocular pressure (IOP), Eicosanoids, Lipids, Ophthalmics, Prostaglandins, Synthetic, Ophthalmologicals, Fatty Acids, Unsaturated, Prostaglandins, Prostaglandins F, Synthetic, Antihypertensive Agents	approved	1
DB00284	Acarbose	Drug	Carbohydrates, Glycoside Hydrolase Inhibitors, Enzyme Inhibitors, Polysaccharides, Trisaccharides, Alimentary Tract and Metabolism, Hypoglycemia-Associated Agents, Drugs Used in Diabetes, Blood Glucose Lowering Agents, Oligosaccharides, Drugs that are Mainly Renally Excreted	approved, investigational	4
DB00285	Venlafaxine	Drug	Cytochrome P-450 CYP2D6 Inhibitors, QTc Prolonging Agents, Amines, Cytochrome P-450 Substrates, Serotonin Agents, Cyclohexanols, Cytochrome P-450 Enzyme Inhibitors, Nervous System, Hypoglycemia-Associated Agents, Lipids, Antidepressive Agents, Cytochrome P-450 CYP2B6 Inhibitors, Cytochrome P-450 CYP3A4 Substrates, Phenethylamines, Drugs that are Mainly Renally Excreted, Alcohols, BCRP/ABCG2 Inducers, Cyclohexanes, Serotonin Modulators, Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome, Norepinephrine Uptake Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (moderate), Potential QTc-Prolonging Agents, Fatty Alcohols, Agents that reduce seizure threshold, Cycloparaffins, P-glycoprotein substrates, Combined Inhibitors of Serotonin/Norepinephrine Reuptake, Agents producing tachycardia, Antidepressive Agents, Second-Generation, Psychotropic Drugs, Membrane Transport Modulators, Cytochrome P-450 CYP2C9 Substrates, Neurotransmitter Agents, Cytochrome P-450 CYP3A Substrates, Ethylamines, Hexanols, Central Nervous System Depressants, Neurotransmitter Uptake Inhibitors, Serotonin and Noradrenaline Reuptake Inhibitors, Central Nervous System Agents, Cytochrome P-450 CYP2D6 Substrates, P-glycoprotein inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (weak), Psychoanaleptics	approved	3
DB00288	Amcinonide	Drug	Corticosteroids, Dermatological Preparations, Cytochrome P-450 Substrates, Immunosuppressive Agents, Glucocorticoids, Anti-Inflammatory Agents, Adrenal Cortex Hormones, Cytochrome P-450 CYP3A Inducers, Hormones, Cytochrome P-450 CYP3A4 Inducers (strength unknown), Cytochrome P-450 CYP3A4 Substrates, Fused-Ring Compounds, Cytochrome P-450 Enzyme Inducers, Corticosteroids, Potent (Group III), Cytochrome P-450 CYP3A5 Inducers (strength unknown), Corticosteroid Hormone Receptor Agonists, Cytochrome P-450 CYP3A5 Inducers, Corticosteroids, Hormones, Hormone Substitutes, and Hormone Antagonists, Pregnadienes, Cytochrome P-450 CYP3A4 Inducers, Dermatologicals, Cytochrome P-450 CYP3A Substrates, Pregnanes, Thyroxine-binding globulin inhibitors, Steroids, Fluorinated, Hyperglycemia-Associated Agents, Steroids	approved	2
DB00289	Atomoxetine	Drug	QTc Prolonging Agents, Amines, Cytochrome P-450 Substrates, Cytochrome P-450 Enzyme Inhibitors, Nervous System, Psychostimulants, Agents Used for Adhd and Nootropics, Agents producing tachycardia, Miscellaneous Central Nervous System Agents, Drugs that are Mainly Renally Excreted, Membrane Transport Modulators, Cytochrome P-450 CYP2C19 Substrates, Neurotransmitter Agents, Central Nervous System Depressants, Norepinephrine Uptake Inhibitors, Neurotransmitter Uptake Inhibitors, Agents that produce hypertension, Potential QTc-Prolonging Agents, Cytochrome P-450 CYP2D6 Substrates, Adrenergic Agents, Norepinephrine Reuptake Inhibitor, Propylamines	approved	5
DB12260	Radiprodil	Drug	Acids, Acyclic, Fatty Acids, Fatty Acids, Volatile, Amides, Lipids, Acetates	investigational	0
DB13592	Etamiphylline	Drug	Autonomic Agents, Cytochrome P-450 Substrates, Anti-Asthmatic Agents, Bronchodilator Agents, Respiratory System Agents, Peripheral Nervous System Agents, Alkaloids, Heterocyclic Compounds, Fused-Ring, Purines, Xanthines and Adrenergics, Cytochrome P-450 CYP1A2 Substrates, Drugs for Obstructive Airway Diseases, Xanthine derivatives, Purinones	experimental	0
DB13593	Zolimidine	Drug	Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord), Alimentary Tract and Metabolism, Drugs for Acid Related Disorders	experimental	0
DB12262	CRS-3123	Drug	Heterocyclic Compounds, Fused-Ring, Sulfur Compounds, Methionine-tRNA Ligase, antagonists & inhibitors, Pyrans	investigational	0
DB13590	Calcium pangamate	Drug	Acids, Acyclic, Carbohydrates, Amines, Hydroxy Acids, Peptides, Gluconates, Amino Acids, Peptides, and Proteins, Mineral Supplements, Peptoids, Amino Acids, Calcium Salts, Alimentary Tract and Metabolism, Sugar Acids	experimental	0
DB13591	Metopimazine	Drug	Autonomic Agents, Antiemetics and Antinauseants, Alimentary Tract and Metabolism, Piperidines, Antiemetics, Central Nervous System Agents, Gastrointestinal Agents, Peripheral Nervous System Agents	experimental	0
DB12261	Ascrinvacumab	Drug	Proteins, Serum Globulins, Immunoglobulins, Globulins, Blood Proteins, Antibodies, Amino Acids, Peptides, and Proteins, Immunoproteins	investigational	0
DB14850	Deleobuvir	Drug	Acids, Acyclic, Heterocyclic Compounds, Fused-Ring	investigational	0
DB14851	Relatlimab	Drug	0	investigational	0
